present,p5,ccode,scode,country,polity,persist,bmonth,bday,byear,emonth,eday,eyear,democ,autoc,xrreg,xrcomp,xropen,xconst,parreg,parcomp,exrec,exconst,polcomp
,1,145,BOL,Bolivia,9,18,8,7,1985,2,11,2003,9,0,3,3,4,7,2,4,8,7,9
,1,145,BOL,Bolivia,8,6,2,12,2003,2,6,2009,8,0,3,3,4,7,2,3,8,7,7
1,1,145,BOL,Bolivia,7,10,2,7,2009,99,99,9999,7,0,3,3,4,6,2,3,8,6,7
,0,346,BOS,Bosnia,-77,4,4,5,1992,12,20,1995,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
1,0,346,BOS,Bosnia,-66,23,12,21,1995,99,99,9999,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66
,0,571,BOT,Botswana,6,21,9,30,1966,9,14,1987,6,0,2,2,4,5,2,4,7,5,9
,0,571,BOT,Botswana,7,10,9,15,1987,8,5,1997,7,0,2,2,4,6,2,4,7,6,9
1,0,571,BOT,Botswana,8,21,8,6,1997,99,99,9999,8,0,2,2,4,7,2,4,7,7,9
,0,140,BRA,Brazil,-6,66,3,25,1824,11,15,1889,1,7,3,1,1,1,3,3,1,1,6
,0,140,BRA,Brazil,-3,5,11,16,1889,6,30,1894,1,4,1,0,0,1,3,3,4,1,6
,0,140,BRA,Brazil,-3,36,7,1,1894,10,30,1930,1,4,2,1,4,3,3,3,3,3,6
,0,140,BRA,Brazil,-88,4,10,31,1930,7,16,1934,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
,0,140,BRA,Brazil,-7,11,7,17,1934,10,25,1945,0,7,1,0,0,1,4,1,4,1,1
,0,140,BRA,Brazil,-88,1,10,26,1945,9,18,1946,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
,0,140,BRA,Brazil,7,1,9,19,1946,5,1,1947,7,0,3,3,4,7,1,0,8,7,4
,0,140,BRA,Brazil,5,11,5,2,1947,6,30,1958,6,1,3,3,4,5,3,3,8,5,6
,0,140,BRA,Brazil,6,3,7,1,1958,9,2,1961,6,0,3,3,4,5,2,3,8,5,7
,0,140,BRA,Brazil,5,1,9,3,1961,1,22,1963,5,0,3,3,4,4,2,3,8,4,7
,0,140,BRA,Brazil,3,1,1,23,1963,4,9,1964,4,1,3,3,4,3,2,3,8,3,7
,0,140,BRA,Brazil,-88,2,4,10,1964,10,27,1965,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
,0,140,BRA,Brazil,-9,8,10,28,1965,1,15,1974,0,9,2,1,4,1,4,1,3,1,1
,0,140,BRA,Brazil,-4,9,1,16,1974,11,15,1982,2,6,2,2,4,1,4,2,7,1,2
,0,140,BRA,Brazil,-3,2,11,16,1982,1,15,1985,2,5,2,2,4,2,4,2,7,2,2
,0,140,BRA,Brazil,7,4,1,16,1985,10,5,1988,7,0,3,3,4,5,2,4,8,5,9
1,0,140,BRA,Brazil,8,30,10,6,1988,99,99,9999,8,0,3,3,4,6,2,4,8,6,9
,1,516,BUI,Burundi,-4,1,7,1,1962,6,15,1963,0,4,3,1,2,3,2,0,2,3,5
,1,516,BUI,Burundi,5,2,6,16,1963,11,28,1966,5,0,3,2,3,5,2,3,6,5,7
,1,516,BUI,Burundi,-7,17,11,29,1966,9,2,1987,0,7,1,0,0,1,4,1,4,1,1
,1,516,BUI,Burundi,-6,5,9,3,1987,3,12,1992,0,6,2,0,0,2,4,1,5,2,1
